gvkey,state,treatment_discrete,margin_78,revenue_78,profit_78,margin_83,revenue_83,profit_83,profit_growth,rev_growth,margin_growth
1118,RI,0,0.024219086269446,32.526,0.78775,0.0251832927588745,70.652,1.77925,1,1,0.000964206489428503
1240,ID,0,0.0156637145812833,396.33,6.208,0.0173191910071602,1014.496,17.57025,1,1,0.00165547642587693
1301,OH,0,0.047055080341343,394.442,18.5605,0.0418004474470918,768.359,32.11775,0.730435602489157,0.947964466258664,-0.00525463289425116
1302,MI,0,-0.0105286529309363,310.771,-3.272,0.0206046477987771,179.741,3.7035,-1,-0.421628787756901,0.0311333007297134
1322,MA,0,0.0221393928507275,11.134,0.2465,0.00413141195134849,15.128,0.0625,-0.746450304259635,0.358721034668583,-0.018007980899379
1345,GA,0,0.00953977533241632,87.24,0.83225,,,,-1,-1,-1
1572,UT,0,0.00734133972549197,905.693,6.649,,,,-1,-1,-1
1573,UT,0,0.0247434349532146,198.78,4.9185,,,,-1,-1,-1
1594,CT,0.746427804626424,0.0376472135363395,34.219,1.28825,0.0529683138357945,93.858,4.9715,1,1,0.015321100299455
1803,NY,0,0.0341238819407113,308.794,10.53725,0.0416877174242534,692.77,28.88,1,1,0.00756383548354208
2064,NY,0,0.0327982928187048,5.389,0.17675,,,,-1,-1,-1
2090,AZ,0,0.0108695652173913,52.21,0.5675,0.00953843599535115,90.345,0.86175,0.518502202643172,0.73041562918981,-0.00133112922204015
2151,NJ,0.388457266503885,0.00726907255048616,10.696,0.07775,,,,-1,-1,-1
2198,MA,0,0.0629279811097993,4.235,0.2665,,,,-1,-1,-1
2208,NY,0,0.0122686561617363,53.816,0.66025,0.0108049618141045,127.534,1.378,1,1,-0.00146369434763181
2323,MI,0,0.000768288224191939,202.398,0.1555,-0.00894003826647621,305.228,-2.72875,-1,0.508058380023518,-0.00970832649066815
2436,MO,0,0.0313851157007924,215.556,6.76525,0.0457318982014574,367.353,16.79975,1,0.704211434615599,0.0143467825006651
2611,CT,0.967289721046729,0.0397461295268593,73.699,2.92925,,,,-1,-1,-1
2791,NY,0,0.0184192439862543,14.55,0.268,0.0350283181482393,32.488,1.138,1,1,0.0166090741619851
2792,IL,0,0.0330274363632074,84.778,2.8,0.0189615813192123,202.818,3.84575,0.373482142857143,1,-0.0140658550439951
2796,OH,0,0.0439857146105299,307.867,13.54175,0.0264546220029071,637.743,16.87125,0.245869256189193,1,-0.0175310926076227
3004,MA,0,0.0154763522696385,14.716,0.22775,,,,-1,-1,-1
3030,GA,0,0.121481910343361,42.317,5.14075,0.0873116898929635,90.343,7.888,0.534406458201624,1,-0.0341702204503974
3051,AZ,0,0.0216516384429294,90.94,1.969,0.0251081428180651,215.687,5.4155,1,1,0.00345650437513566
3054,VA,0,0.027719241368131,18.507,0.513,0.0473443931055147,63.413,3.00225,1,1,0.0196251517373837
3164,OH,0,0.0457858815927631,24.762,1.13375,0.0436547947372063,101.163,4.41625,1,1,-0.00213108685555681
3177,CA,0,0.0376712328767123,40.588,1.529,0.0500085847042033,93.189,4.66025,1,1,0.012337351827491
3495,OH,0,0.00731858194408595,112.351,0.82225,-0.102637945130205,149.226,-15.31625,-1,0.328212476969497,-0.109956527074291
3615,MI,0,-0.000768297614233725,12.365,-0.00950000000000001,0.0257487425697302,17.496,0.4505,-1,0.414961585119288,0.026517040183964
3646,ID,1,0.00721407414912066,167.797,1.2105,0.0101536756687032,341.108,3.4635,1,1,0.0029396015195825
3654,NY,0,0.00487714072970961,47.005,0.22925,,,,-1,-1,-1
3708,OH,0,0.0340520339226678,34.785,1.1845,0.0125834795186656,64.986,0.81775,-0.309624314056564,0.86821905993963,-0.0214685544040023
3782,TX,0,0.0929636533084809,22.533,2.09475,0.0152922510678259,132.044,2.01925,-0.0360424871703067,1,-0.077671402240655
3813,MN,1,0.0493912832978627,495.715,24.484,0.0447136477207893,1372.383,61.36425,1,1,-0.00467763557707337
3869,SC,0,0.0486606678702067,105.799,5.14825,0.0373457385983932,269.348,10.059,0.953867819161851,1,-0.0113149292718136
3886,NY,0,-0.115335258261149,3.117,-0.3595,0.053116027698024,5.921,0.3145,-1,0.899582932306705,0.168451285959173
3964,AR,1,0.0222246293540305,53.083,1.17975,0.0510054981174924,167.33,8.53475,1,1,0.0287808687634619
4084,NJ,0,0.0131509850789512,55.224,0.72625,,,,-1,-1,-1
4207,FL,0,0.0549450680621273,209.441,11.50775,0.037983377142724,472.121,17.93275,0.558319393452239,1,-0.0169616909194033
4218,MO,0,0.0566489926431096,160.122,9.07075,0.0449977915194346,271.68,12.225,0.347738610368492,0.696706261475625,-0.011651201123675
4470,FL,0,0.063444372263125,166.248,10.5475,-0.0742138847061885,215.172,-15.96875,-1,0.294283239497618,-0.137658256969313
4523,OH,0,0.0222226240416606,27.652,0.6145,0.02069128100972,55.144,1.141,0.856794141578519,0.994213800086793,-0.00153134303194063
4550,TX,0,0.00679441015089163,128.304,0.87175,,,,-1,-1,-1
4592,NY,0,0.0196935648621042,24.475,0.482,0.0295600466948782,68.53,2.02575,1,1,0.00986648183277397
4594,CA,0,0.0132343538438393,106.352,1.4075,,,,-1,-1,-1
4611,NY,0,0.0475437790247678,1033.6,49.14125,0.0459404442431264,1841.199,84.5855,0.72127286139445,0.781345781733746,-0.00160333478164146
4750,NY,0,0.00972024656235183,8.436,0.082,,,,-1,-1,-1
4759,FL,0,0.0164442487467823,14.762,0.24275,-0.00116364527192553,16.328,-0.019,-1,0.106083186560087,-0.0176078940187078
4830,NJ,1,0.00818478720124242,87.571,0.71675,0.000348452421631926,111.206,0.03875,-0.945936519009418,0.269895284968768,-0.00783633477961049
4887,MI,0,0.0951826196473552,7.94,0.75575,,,,-1,-1,-1
4904,NY,0,-0.0117850098619329,10.14,-0.1195,-0.172217074018302,8.633,-1.48675,1,-0.14861932938856,-0.160432064156369
4909,CT,0.917883931560403,0.0590405264980949,14.435,0.85225,0.0521950898440071,30.386,1.586,0.860956292167791,1,-0.00684543665408779
4911,OH,0,0.0173611111111111,27.864,0.48375,0.0321947597326827,37.708,1.214,1,0.353287395923055,0.0148336486215716
4979,CA,0,0.00648081773529802,376.65,2.441,0.0037448869176437,336.392,1.25975,-0.483920524375256,-0.106884375414841,-0.00273593081765432
4990,CA,0,0.0788297568861137,31.549,2.487,0.0618948586619,87.273,5.40175,1,1,-0.0169348982242137
4996,DC,0,0.0452086997977938,60.829,2.75,,,,-1,-1,-1
5009,NJ,1,0.00888069705093834,20.888,0.1855,0.0102031273380218,26.732,0.27275,0.470350404312668,0.279777862887782,0.00132243028708351
5060,NY,0,-0.0016290950662713,139.955,-0.228,,,,-1,-1,-1
5109,TN,0,-0.131015604194568,259.097,-33.94575,-0.00294715751069111,167.195,-0.49275,-0.985484191688208,-0.354701135096122,0.128068446683877
5121,NY,0,0.0165133974418822,21.422,0.35375,0.0184328272591686,52.298,0.964,1,1,0.00191942981728643
5151,MD,0,0.0118943320921856,205.455,2.44375,0.0227712186994813,444.761,10.12775,1,1,0.0108768866072957
5172,PA,1,0.0200553250345781,53.502,1.073,,,,-1,-1,-1
5194,PA,1,0.02615169031354,28.545,0.7465,0.0200980209459208,53.662,1.0785,0.444742129939719,0.879908915747066,-0.00605366936761926
5221,WV,0.0512070194637894,0.0229362519728265,14.573,0.33425,,,,-1,-1,-1
5235,TX,0,0.0758372253754163,47.747,3.621,0.0474014671142608,104.559,4.95625,0.36875172604253,1,-0.0284357582611554
5259,CO,0,0.0100784670495252,17.587,0.17725,0.0403914534256143,31.498,1.27225,1,0.790981975322682,0.0303129863760891
5260,UT,0,0.0263533553233362,36.077,0.95075,-0.00871021260906968,48.822,-0.42525,-1,0.353272167863182,-0.0350635679324059
5285,OH,0,0.0186816046871974,82.608,1.54325,,,,-1,-1,-1
5301,NJ,1,7.9901141645486e-05,1780.325,0.14225,0.00788394937931163,1507.842,11.88775,1,-0.153052392119416,0.00780404823766614
5334,NY,0,0.00426997245179063,12.705,0.05425,0.0440588117623525,19.996,0.881,1,0.573868555686737,0.0397888393105619
5413,CA,1,0.0429502503270037,44.342,1.9045,0.0054019692079047,86.126,0.46525,-0.75571016014702,0.942312029227369,-0.037548281119099
5465,ME,0,0.00914944186926497,84.568,0.77375,0.0163321093707658,147.608,2.41075,1,0.745435625768612,0.00718266750150084
5513,NJ,1,0.0223979268034694,9.454,0.21175,-0.0281231049120679,6.596,-0.1855,-1,-0.302305902263592,-0.0505210317155374
5602,PA,1,0.0332303945021965,22.991,0.764,,,,-1,-1,-1
5722,MD,0,0.0460406117868142,57.471,2.646,,,,-1,-1,-1
5729,CA,0,0.0541163433123474,31.132,1.68475,0.0462504539980502,52.313,2.4195,0.436118118415195,0.680361043299499,-0.00786588931429722
5732,IL,0,0.00406312566246614,8.491,0.0345,,,,-1,-1,-1
6108,MA,0,0.0912960550800149,10.748,0.98125,-0.00928038735529831,17.968,-0.16675,-1,0.671752884257536,-0.100576442435313
6179,NJ,1,0.0214173076304187,31.073,0.6655,0.0400253270384578,40.668,1.62775,1,0.308788980787179,0.0186080194080391
6206,IL,0,0.000587186833688699,60.032,0.03525,1.55348545111995,4.777,7.421,1,-0.920425772921109,1
6229,NJ,1,0.039193594783776,31.287,1.22625,0.0379960382964675,75.725,2.87725,1,1,-0.00119755648730852
6260,ID,0,0.00923706165128894,719.547,6.6465,0.0163043776997936,1273.477,20.76325,1,0.769831574587901,0.00706731604850462
6303,MA,0,0.0529735580434812,75.297,3.98875,,,,-1,-1,-1
6307,IL,0,0.0370824356086573,2042.2,75.72975,0.0309404618280301,3977.801,123.075,0.625186931159815,0.947801880325139,-0.00614197378062722
6400,GA,0,0.0680277871907828,2.951,0.20075,0.0184381778741866,6.915,0.1275,-0.364881693648817,1,-0.0495896093165962
6502,OH,0,0.0103127248883466,1470.174,15.1615,0.00938247085489837,3386.075,31.76975,1,1,-0.000930254033448178
6508,TN,0,0.0189198451737763,49.604,0.9385,,,,-1,-1,-1
6553,NY,0,-0.0447037037037037,20.25,-0.90525,,,,-1,-1,-1
6583,OH,0,0.030169137783354,82.891,2.50075,,,,-1,-1,-1
6733,OH,0,0.0852980974249631,24.388,2.08025,0.0740373134951448,239.538,17.73475,1,1,-0.0112607839298183
6753,NJ,0.271450860043682,0.037025513378967,22.498,0.833,-0.043021212501569,39.835,-1.71375,-1,0.770601831273891,-0.080046725880536
6780,NY,0,0.0290766076170628,29.749,0.865,,,,-1,-1,-1
6802,MD,0,0.0394146773479329,124.205,4.8955,0.0325380133274672,279.573,9.09675,0.858186089265652,1,-0.00687666402046561
6829,NC,0,0.0414175875047803,149.049,6.17325,0.0422450689742665,299.532,12.65375,1,1,0.000827481469486212
6834,CA,0,0.0178324439689722,931.939,16.61875,0.0131900300392297,1997.721,26.35,0.585558480631817,1,-0.00464241392974252
6914,CT,1,0.0203766836777378,47.812,0.97425,,,,-1,-1,-1
6915,NC,0,0.0393878277375727,8.429,0.332,,,,-1,-1,-1
6928,NY,5.9021552318124e-05,0.0339266894583965,389.03,13.1985,0.0586334134887192,795.954,46.6695,1,1,0.0247067240303227
7068,MN,0,0.0292257019835867,135.865,3.97075,,,,-1,-1,-1
7105,NY,0,-0.00308413520848754,16.212,-0.05,,,,-1,-1,-1
7127,MO,0,0.0455829149438866,460.496,20.99075,0.0555093801947281,842.2,46.75,1,0.828897536569265,0.0099264652508415
7154,IL,0,0.117320315289336,291.288,34.174,0.132380326855465,647.075,85.66,1,1,0.0150600115661293
7195,PA,0,0.00473877781969068,10.604,0.0502499999999999,-0.0232172470978441,1.005,-0.0233333333333333,-1,-0.905224443606187,-0.0279560249175348
7254,OH,0.00719128816336553,0.048525584890661,161.013,7.81325,0.0655082949990712,317.601,20.8055,1,0.972517747014216,0.0169827101084102
7407,NJ,1,0.107337499545834,27.523,2.95425,0.0779540481400438,53.012,4.1325,0.398832190911399,0.926098172437598,-0.0293834514057906
7485,MN,1,0.0563417035942885,50.775,2.86075,,,,-1,-1,-1
7566,TN,0,0.0608014293006636,48.975,2.97775,0.0458891440519699,111.911,5.1355,0.724624296868441,1,-0.0149122852486937
7570,MA,0,0.0509168332319458,57.535,2.9295,0.0414391019547521,115.718,4.79525,0.636883427206008,1,-0.00947773127719372
7573,MA,0,0.00381808209931232,23.703,0.0905,,,,-1,-1,-1
7616,GA,0,-0.00345991116266196,75.869,-0.2625,0.0223445403153823,84.025,1.8775,-1,0.107501087400651,0.0258044514780443
7618,PA,1,0.0138629814603098,149.571,2.0735,0.0244016246540187,188.594,4.602,1,0.260899505920265,0.0105386431937089
7720,TX,0,0.0149407608971217,59.167,0.884,0.021636238646526,164.377,3.5565,1,1,0.00669547774940426
7758,CA,0,-0.153112221717401,4.402,-0.674,0.101403214200048,4.169,0.42275,-1,-0.0529304861426626,0.254515435917449
7780,IL,0.00327510924847162,0.0152700037315422,187.59,2.8645,,,,-1,-1,-1
7853,PA,1,0.038039200989394,53.366,2.03,0.0666984356513737,60.856,4.059,0.999507389162562,0.140351534685005,0.0286592346619797
7891,NY,0,0.0225483643384947,80.793,1.82175,0.0133431544633902,159.52,2.1285,0.168382050226431,0.974428477714653,-0.0092052098751045
8306,NE,0.015421256262864,0.0242583643746434,59.598,1.44575,,,,-1,-1,-1
8343,MD,0.00344287950172144,0.0387962842383991,46.074,1.7875,0.0217771336621104,95.911,2.08866666666667,0.168484848484848,1,-0.0170191505762887
8398,OR,1,0.0340304306657524,61.254,2.0845,0.0316973284028373,194.977,6.18025,1,1,-0.00233310226291518
8400,WA,1,0.03383379950473,112.262,3.79825,0.0294047549278165,255.945,7.526,0.981438820509445,1,-0.00442904457691348
8439,NY,1,0.019821662593419,56.466,1.11925,0.0134155336876163,119.302,1.6005,0.42997542997543,1,-0.00640612890580275
8446,TX,0,0.0395514370131614,1861.5,73.625,0.0490752416981925,2379,116.75,0.585738539898132,0.278001611603546,0.00952380468503108
8475,PA,0.61009175,0.0338522320524076,29.614,1.0025,0.0570641797620796,68.09,3.8855,1,1,0.023211947709672
8504,NJ,0.991126141009098,0.133881578947368,77.52,10.3785,0.0957243986807176,124.31,11.8995,0.146552970082382,0.60358617131063,-0.0381571802666509
8510,CA,0,0.0515405002071303,200.357,10.3265,-0.029626934666484,292.04,-8.65225,-1,0.457598187235784,-0.0811674348736143
8569,NC,0,0.0791394843118981,12.876,1.019,,,,-1,-1,-1
8580,TX,0.0288707793771292,0.0290037947168699,27.143,0.78725,,,,-1,-1,-1
8622,TX,0,0.0353239268680445,15.096,0.53325,0.0256477940756806,35.042,0.89875,0.685419596812002,1,-0.00967613279236391
8650,MA,0,0.0170275012453254,134.503,2.29025,0.0303739350757563,294.035,8.931,1,1,0.0133464338304309
8674,SC,0,0.0496838602329451,45.075,2.2395,0.0317818368544601,95.424,3.03275,0.35420852868944,1,-0.017902023378485
8814,PR,0,0.00465703610308137,130.072,0.60575,0.0085201085095736,113.907,0.9705,0.602146099876187,-0.124277323328618,0.00386307240649223
8888,IL,0,0.0450978117992732,12.933,0.58325,0.00429294049784798,22.537,0.09675,-0.834119159879983,0.742596458671615,-0.0408048713014252
8926,NC,0.0664521548540151,0.0033764572078476,35.17,0.11875,0.00973399695180034,41.992,0.40875,1,0.193972135342621,0.00635753974395275
8950,NY,0,0.0223078333900112,523.426,11.6765,0.0262989695985235,528.823,13.9075,0.191067528797157,0.0103109130994638,0.00399113620851232
9089,NY,0.000956083857168718,0.00777646363098758,16.91,0.1315,0.0203638412329165,27.512,0.56025,1,0.626966292134831,0.012587377601929
9155,PA,0.979161106972148,0.0380379644469277,136.022,5.174,0.0666886384780899,278.387,18.56525,1,1,0.0286506740311621
9201,PA,1,0.0762635632765503,17.787,1.3565,,,,-1,-1,-1
9284,NC,0,0.0203152588519133,74.193,1.50725,0.0199943438914027,132.6,2.65125,0.758998175485155,0.787230601269662,-0.000320914960510538
9359,CA,0,0.0102768031643372,2488.736,25.57625,0.0108612028540854,4219.215,45.82575,0.791730609452128,0.695324453859309,0.000584399689748176
9361,CA,0,0.0189045041623144,94.779,1.79175,0.0278823529411765,212.5,5.925,1,1,0.00897784877886203
9388,CA,0,0.0536682284841572,106.073,5.69275,-0.370330781604498,63.617,-23.5593333333333,-1,-0.400252656189605,-0.423999010088655
9430,CA,0,0.0241641800133975,82.105,1.984,,,,-1,-1,-1
9502,OH,0,0.0260343472807773,132.354,3.44575,0.0425940263232957,245.41,10.453,1,0.854194055336446,0.0165596790425184
9522,FL,0,0.0398891579731744,21.472,0.8565,0.0373716957951888,75.699,2.829,1,1,-0.00251746217798553
9567,OH,0,0.00895845886054763,59.748,0.53525,0.00754324559629236,113.711,0.85775,0.602522185894442,0.903176675369887,-0.00141521326425528
9618,NY,0.161513375688501,0.0290719631090925,100.621,2.92525,,,,-1,-1,-1
9680,NY,0,0.00170201623461639,76.38,0.13,0.00343806138439781,130.815,0.44975,1,0.712686567164179,0.00173604514978142
9712,TX,0,0.0306903682844194,90.908,2.79,-0.00754831167044908,363.525,-2.744,-1,1,-0.0382386799548685
9722,PA,0.750227075745686,0.0395073754522683,17.965,0.70975,,,,-1,-1,-1
9731,NJ,0,0.0344611528822055,1.995,0.06875,-0.000396667988893295,2.521,-0.000999999999999996,-1,0.263659147869674,-0.0348578208710988
9770,CA,0,0.0112752016781696,77.227,0.87075,0.00337691188111227,117.489,0.39675,-0.544358311800172,0.521346161316638,-0.00789828979705728
9842,FL,0,0.0455682955682956,21.978,1.0015,0.0196561742233609,43.714,0.85925,-0.142036944583125,0.988988988988989,-0.0259121213449346
9872,TX,0,0.0222288229316117,535.296,11.899,0.0193200619095907,1705.067,32.942,1,1,-0.00290876102202102
9918,SC,0,0.0679176105878145,16.774,1.13925,,,,-1,-1,-1
9926,CA,0,0.035335945436076,13.782,0.487,,,,-1,-1,-1
9943,MA,0,0.018918116020309,18.514,0.35025,0.0118050196597215,27.213,0.32125,-0.0827980014275518,0.469860645997624,-0.0071130963605875
9985,CA,0,0.0826716114019779,34.38,2.84225,0.0685829271894846,67.71,4.64375,0.633828832790923,0.969458987783595,-0.0140886842124933
10131,NJ,0.745498331773139,0.0362716038619968,91.766,3.3285,0.0196101402252365,196.327,3.85,0.156677181913775,1,-0.0166614636367603
10173,FL,0,0.0206888580674988,17.304,0.358,0.0119303863922722,38.096,0.4545,0.269553072625698,1,-0.00875847167522669
10199,NJ,1,0.00894797977607156,414.954,3.713,0.01235908624074,822.755,10.1685,1,0.982761944697485,0.00341110646466839
10331,TX,0,0.062829080599433,9.876,0.6205,-0.090165278415426,15.247,-1.37475,-1,0.543843661401377,-0.152994359014859
10332,TX,0,0.0889450576631729,194.058,17.2605,0.134652424721191,517.111,69.63025,1,1,0.0457073670580185
10333,TX,0.0230808567847491,0.0502619760479042,40.08,2.0145,0.0529226828132278,12.882,0.68175,-0.661578555472822,-0.678592814371258,0.00266070676532357
10554,CA,0.957627118084746,0.0490370610131089,6.179,0.303,0.0410322527832351,12.216,0.50125,0.654290429042904,0.977018935102767,-0.00800480822987382
10558,CA,1,0.0143548678669229,149.357,2.144,0.021918648822395,256.665,5.62575,1,0.71846649303347,0.00756378095547207
10639,NJ,0.971631206486525,0.0738813497157528,32.718,2.41725,0.127006554147383,181.717,23.07925,1,1,0.0531252044316302
10699,NY,0,0.0205756673742973,695.749,14.3155,,,,-1,-1,-1
10969,OH,0,0.0314740356423694,152.459,4.7985,0.0590515143426858,318.455,18.80525,1,1,0.0275774787003164
11002,NY,0,0.0121668817857414,13.171,0.16025,0.0258862758862759,17.094,0.4425,1,0.297851340065295,0.0137193941005345
11085,ME,0.00208159854046628,0.0554692355500311,12.872,0.714,,,,-1,-1,-1
11215,NY,0,0.0258508797231036,6.934,0.17925,0.0102221279003962,7.068,0.07225,-0.596931659693166,0.0193250648976059,-0.0156287518227074
11259,AR,1,0.0431922873099344,122.655,5.29775,0.0573991440611933,854.734,49.061,1,1,0.0142068567512589
11264,IL,0,0.0136740984169942,279.342,3.81975,0.0331337713884194,526.57,17.44725,1,0.885036979759578,0.0194596729714252
11343,PA,0.868173257363465,0.0477050486183596,109.218,5.21025,0.0598022183616197,209.524,12.53,1,0.918401728652786,0.0120971697432601
11491,IL,0,0.0214775148269707,34.734,0.746,-0.0218618482397117,39.681,-0.8675,-1,0.142425289341855,-0.0433393630666824
11534,MI,0,0.0302659605088941,17.371,0.52575,0.0189048978297313,22.071,0.41725,-0.206371849738469,0.270565885671522,-0.0113610626791628
11535,FL,0,0.0219293327252927,802.578,17.6,0.0179205015845097,1582.824,28.365,0.611647727272727,0.972174667135157,-0.00400883114078303
11543,WI,0,0.125171759471308,15.283,1.913,0.0562626893643605,6.403,0.36025,-0.811683220073184,-0.581037754367598,-0.0689090701069475
11579,DC,0,0.0520089163362628,54.731,2.8465,0.0461427520060776,84.244,3.88725,0.365624451080274,0.539237360910636,-0.00586616433018522
11584,NY,0,0.0186189487327791,1148.024,21.375,,,,-1,-1,-1
11669,TX,0,0.0421626010457003,168.117,7.08825,,,,-1,-1,-1
11672,MA,0,0.0121538690574652,241.816,2.939,0.0295989545486962,518.819,15.3565,1,1,0.017445085491231
12061,TX,0,0.0720690848278646,17.341,1.24975,0.00789862254495439,49.439,0.3905,-0.6875375075015,1,-0.0641704622829102
12474,FL,0.0134874760647399,0.0329199947045585,90.644,2.984,0.0526905657185479,130.047,6.85225,1,0.434700586911434,0.0197705710139894
12681,OR,1,0.0186043559710769,228.468,4.2505,,,,-1,-1,-1
13121,SC,0,0.0205756673742973,695.749,14.3155,,,,-1,-1,-1
13961,OH,0,0.0458793542905692,160.072,7.344,0.051510161857412,453.362,23.35275,1,1,0.00563080756684271
14097,PA,1,0.0260530441946371,376.29,9.8035,0.018064530022086,743.003,13.422,0.369102871423471,0.974548885168354,-0.00798851417255107
23769,CA,0,0.0376712328767123,40.588,1.529,0.0500085847042033,93.189,4.66025,1,1,0.012337351827491
65499,VA,0,0.027719241368131,18.507,0.513,0.0473443931055147,63.413,3.00225,1,1,0.0196251517373837
4945,NY,0,,,,0.0238600126521812,309.828,7.3925,-1,-1,-1
7922,WA,1,,,,0.0703621713494345,142.971,10.05975,-1,-1,-1
8496,MI,0,,,,0.0152484030275377,74.516,1.13625,-1,-1,-1
11263,NJ,0,,,,0.00987593445893482,352.878,3.485,-1,-1,-1
